0,Loan Month Key,Loan Month,Loans_2020,Loans_2019,Loans_2018,Loans_2017,Loans_2016
0,4,April,3,37171,43802,42118,46837
0,8,August,11214,11924,13121,13004,13462
0,12,December,23534,25906,32096,35276,40958
0,2,February,34559,40325,43882,49343,59376
0,1,January,28839,34788,37564,37989,48773
0,7,July,1027,12404,13443,14111,13076
0,6,June,16,12751,14119,14823,14621
0,3,March,28725,52813,57024,66927,74291
0,5,May,9,22316,26054,31100,27948
0,11,November,46844,53251,64921,67348,73019
0,10,October,50945,54490,64814,67260,74546
0,9,September,31844,32774,37123,37718,37922
